,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
312,6,,3,2,1,107,0,,,No definida,"$ 6.728.971,96",$720.000.000,
313,6,,2,3,2,135,135,1 a 8 años,,No definida,"$ 9.259.259,26",$1.250.000.000,
314,4,,4,2,,140,140,1 a 8 años,2,No definida,$ 4.000.000,$560.000.000,
315,3,En construcción,,,,,,,,,,,
316,4,,4,3,2,150,150,,4,$ 3.800.000 COP,"$ 4.466.666,67",$670.000.000,
317,4,,4,3,1,105,105,1 a 8 años,,$ 150.000 COP,"$ 4.095.238,1",$430.000.000,
318,3,,2,2,3,70,70,9 a 15 años,1,No definida,"$ 2.785.714,29",$195.000.000,
319,3,,3,2,2,110,0,,8,$ 330.000 COP,"$ 6.318.181,82",$695.000.000,
320,6,Excelente,3,4,3,311,311,16 a 30 años,3,No definida,"$ 5.144.694,53",$1.600.000.000,
321,5,En construcción,,,,,,,,,,,
322,4,,2,2,1,64,64,16 a 30 años,,$ 265.000 COP,$ 6.250.000,$400.000.000,
323,5,,3,2,2,103,103,9 a 15 años,,$ 614.000 COP,"$ 7.572.815,53",$780.000.000,
324,5,,3,2,1,78,0,,5,$ 341.382 COP,"$ 6.282.051,28",$490.000.000,
325,6,,4,3,2,116,0,16 a 30 años,,$ 570.000 COP,"$ 7.025.862,07",$815.000.000,
326,5,,2,2,1,60,60,,11,$ 287.000 COP,$ 7.500.000,$450.000.000,
327,3,,2,1,,48,0,,1,No definida,$ 3.750.000,$180.000.000,
328,5,,3,2,1,89,0,1 a 8 años,,$ 310.000.000 COP,"$ 6.011.235,96",$535.000.000,
329,5,Excelente,4,5,2,"184,9",0,9 a 15 años,13,No definida,"$ 6.489.994,59",$1.200.000.000,
330,5,Sobre planos,,,,,,,,,,,
331,4,,3,2,1,75,75,1 a 8 años,,$ 270.000 COP,$ 5.800.000,$435.000.000,
332,4,,3,2,2,54,54,menor a 1 año,11,$ 250.000 COP,"$ 7.037.037,04",$380.000.000,
333,5,Sobre planos,,,,,,,,,,,
